,ID,City,Restaurant,Average Cost for two,Aggregate rating,Votes,Cuisine,Address,Price Range
8274,399576,Pune,Jyoti Restaurant,400.0,4.1,1000,"North Indian,South Indian,Beverages,Ice Cream,Chinese,Snacks","Kondhwa, Kondhwa, Pune",1
8275,399910,Bangalore,Ministry Of Ice Creams,700.0,2.9,80,"Ice Cream,Desserts,Beverages","Indiranagar, Indiranagar, Bangalore",1
8276,400357,Chennai,Kolambu Box,600.0,2.9,80,"Indian,Street Food,European","Annanagar, Annanagar, Chennai",1
8277,400587,Hyderabad,Anu Tiffin Center,300.0,3.9,20,South Indian,"Santoshnagar & Saidabad, Santoshnagar & Saidabad, Hyderabad",1
8278,400600,Mumbai,The Batter Cake House,1900.0,2.9,80,"Bakery,Desserts","Matunga Wadala, Matunga Wadala, Mumbai",2
8279,400777,Delhi,Tummy Full,300.0,2.9,80,Snacks,"Rohini, Rohini, Delhi",1
8280,401051,Hyderabad,Milap Pan Shop,200.0,4.5,20,Paan,"Ameerpet, Ameerpet, Hyderabad",1
8281,401165,Hyderabad,Milkshakes Hub N More,600.0,2.9,80,Beverages,"Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8282,401306,Chennai,Guna Bhai Dosa,400.0,2.9,80,Indian,"George Town, George Town, Chennai",1
8283,401571,Kolkata,Starlight,700.0,2.9,80,Chinese  North Indian  Continental  Fast Food  Snacks,"Salt Lake, Salt Lake, Kolkata",1
8284,401645,Chennai,Havmor Havfunn,600.0,2.9,80,"Ice Cream,Indian","Mogappair, Mogappair, Chennai",1
8285,402069,Hyderabad,Juice It Up,300.0,2.9,80,Chaat  Beverages  Juices,"Nallakunta & Vidyanagar, Nallakunta & Vidyanagar, Hyderabad",1
8286,402234,Ahmedabad,All In One  Food Point,500.0,2.9,80,"Snacks,Italian,Continental","Naranpura, Naranpura, Ahmedabad",1
8287,402283,Pune,Krishna Bikaner And Dry Fruits,500.0,2.9,80,Sweets,"Sinhgad Road, Sinhgad Road, Pune",1
8288,402702,Surat,Gourmet Ice Cream Cakes By Baskin Robbins,400.0,2.9,80,"Desserts,Ice Cream,Bakery","Ghodod Road, Athwa, Surat",1
8289,402771,Kolkata,Teekha,1000.0,4.3,20,"Indian,Fast Food,Mexican,Continental,Beverages","Salt Lake, Salt Lake, Kolkata",2
8290,403037,Chennai,Nic Natural Ice Creams,240.0,4.5,100,"Ice Cream,Desserts","Bc Press Road, Royapuram, Chennai",1
8291,403038,Chennai,Grameen Kulfi,240.0,2.9,80,"Ice Cream,Desserts","Bc Press Road, Royapuram, Chennai",1
8292,403229,Kolkata,Sri Krishna Hot Chips,400.0,4.4,20,Indian  Fast Food,"Ruby Area, Ruby Area, Kolkata",1
8293,403318,Ahmedabad,Amazing Snacks,600.0,2.9,80,"Chinese,Beverages","Paldi & Ambawadi, Paldi & Ambawadi, Ahmedabad",1
8294,403775,Bangalore,Khamma Ghani Sa,1000.0,4.6,20,"North Indian,Rajasthani","Koramangala, Koramangala, Bangalore",2
8295,403893,Chennai,Fasta Pizza,400.0,2.9,80,"Pizzas,Beverages","Royapettah, Royapettah, Chennai",1
8296,403909,Kolkata,Fries Before Guys,400.0,2.9,80,Beverages,"Lake Town, Lake Town, Kolkata",1
8297,404088,Kolkata,Cfk,1000.0,2.9,80,"Pizzas,Pastas,Fast Food","Jadavpur, Jadavpur, Kolkata",2
8298,404454,Ahmedabad,The Food Box,600.0,2.9,80,"Italian,Pizzas,Pastas","Vastrapur, Vastrapur, Ahmedabad",1
8299,404496,Delhi,Veer Ji Malai Chaap Wale  Prashant Vihar,400.0,3.6,100,"Indian,Tandoor","Rohini, Prashant Vihar, Delhi",1
8300,404781,Delhi,Sayna Restaurant,300.0,2.9,80,North Indian,"Paschim Vihar, Paschim Vihar, Delhi",1
8301,405127,Bangalore,Hokart - Soori Chaats,300.0,4.9,20,"Fast Food,Street Food,Snacks,Chaat","Koramangala, Koramangala, Bangalore",1
8302,405152,Hyderabad,New Sai Kailash Dhaba,500.0,4.2,100,"Chinese,Biryani,Combo","Kothapet & Dilsukhnagar, Kothapet & Dilsukhnagar, Hyderabad",1
8303,405165,Pune,Caramellas Cake Shop Navi Peth,200.0,2.9,80,Bakery,"Sinhgad Road, Sinhgad Road, Pune",1
8304,405313,Mumbai,Akkad Bakkad Bombay Boom,500.0,4.5,20,"Snacks,Italian,Pizzas","Sion Bhakti Park, Sion Bhakti Park, Mumbai",1
8305,405368,Ahmedabad,New German Waffles & Co,400.0,2.9,80,"Beverages,Desserts,Fast Food","Prahlad Nagar, Jodhpur Cross Road, Ahmedabad",1
8306,405967,Ahmedabad,Puffing - The Live Puff,160.0,4.7,50,Indian,"Isanpur, Isanpur, Ahmedabad",1
8307,406185,Surat,Rasta One Nation,800.0,2.9,80,"Fast Food,Italian,Chinese,Beverages","Sarthana, Sarthana, Surat",1
8308,406542,Ahmedabad,Akkad Bakkad Bombay Boo,500.0,2.9,80,Fast Food,"Vastrapur, Vastrapur, Ahmedabad",1
8309,406713,Pune,Lavaza Restaurant,450.0,2.9,80,"Fast Food,Indian,Beverages","Kondhwa, Kondhwa, Pune",1
8310,406926,Ahmedabad,Sale & Pepe Pizzeria Neapolitan,1400.0,2.9,80,Italian,"Paldi & Ambawadi, Paldi & Ambawadi, Ahmedabad",2
8311,406947,Mumbai,A -1 Panipuri Center,120.0,2.9,80,"Chaat,Snacks","Scruz Bandra East, Scruz Bandra East, Mumbai",1
8312,407008,Hyderabad,Polpat,600.0,2.9,80,Indian,"Nallakunta & Vidyanagar, Nallakunta & Vidyanagar, Hyderabad",1
8313,407058,Pune,Mayas Kitchen,398.0,4.2,20,"Indian,Salads","Camp, Camp, Pune",1
8314,407297,Ahmedabad,Aesh Cafe,400.0,2.9,80,"Continental,Italian,Pizzas,Snacks","Vastrapur, Vastrapur, Ahmedabad",1
8315,407616,Ahmedabad,La Pinoz Pizza Navrangpura,500.0,4.2,100,"Pizzas,Italian,Snacks,Desserts,Beverages","Navrangpura, Navrangpura, Ahmedabad",1
8316,407703,Surat,Italian Roots,500.0,2.9,80,"Italian,Pizzas,Snacks","Piplod, Piplod, Surat",1
8317,407838,Mumbai,Mummas Yummy Bites,600.0,2.9,80,"Italian,Pizzas,Snacks","Ghatkopar Vikhroli, Ghatkopar Vikhroli, Mumbai",1
8318,407889,Ahmedabad,Chow Chow Asian Kitchen,500.0,2.9,80,Chinese,"Vastrapur, Vastrapur, Ahmedabad",1
8319,408241,Ahmedabad,Er. Momo'S,400.0,2.9,80,"Chinese,Fast Food,Beverages,Combo","Maninagar, Maninagar, Ahmedabad",1
8320,408694,Pune,Proper Pakoda,200.0,2.9,80,Snacks,"Wanowrie, Wanowrie, Pune",1
8321,408751,Hyderabad,Vijju Ki Bandi,400.0,4.0,20,South Indian  Chaat  Sweets,"Begumpet, Begumpet, Hyderabad",1
8322,408977,Hyderabad,Sri Sai Ram Darshini Tiffins And Meals,300.0,3.9,100,South Indian,"Santoshnagar & Saidabad, Santoshnagar & Saidabad, Hyderabad",1
8323,409017,Hyderabad,Shree Sweets And Naamkeen,998.0,2.9,80,Sweets,"Ameerpet, Ameerpet, Hyderabad",2
8324,409122,Surat,5 Hot Chillis Pizza & Mocktail Bar,400.0,2.9,80,"Italian,Fast Food","Sarthana, Sarthana, Surat",1
8325,409412,Hyderabad,Bombay Kulfis,200.0,2.9,80,Desserts,"Tolichowki, Tolichowki, Hyderabad",1
